,Age,Sex,Job,Housing,Saving accounts,Checking account,Credit amount,Duration,Purpose
0,67,male,2,own,little,little,1169,6,radio/TV
1,22,female,2,own,little,moderate,5951,48,radio/TV
2,49,male,1,own,little,little,2096,12,Other
3,45,male,2,free,little,little,7882,42,Other
4,53,male,2,free,little,little,4870,24,car
5,35,male,1,free,little,little,9055,36,Other
6,53,male,2,own,quite rich,little,2835,24,Other
7,35,male,3,rent,little,moderate,6948,36,car
8,61,male,1,own,rich,little,3059,12,radio/TV
9,28,male,3,own,little,moderate,5234,30,car
